"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL393090";"ECHINACOSIDE";"ECHINACOSIDE";"Oligosaccharide";"1";"786.73";"7";"20";"-3.19";"324.44";"20";"12";"3";"13";"N";"0.05";"9.01";"None";"-0.95";"-0.96";"2";"MOL";"0";"55";"20";"12";"3";"786.2582";"NEUTRAL";"C35H46O20";"C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](O)[C@@H](O)[C@@H]1O";"FSBUXLDOLNLABB-ZBMJVRRDSA-N"
"CHEMBL1200641";"CISATRACURIUM BESYLATE";"51 W89|51-W-89|51-W89|51W-89|51W89|CISATRACURIUM (AS BESILATE)|CISATRACURIUM BESILATE|CISATRACURIUM BESYLATE|CISATRACURIUM BESYLATE PRESERVATIVE FREE|NIMBEX PRESERVATIVE FREE|Nimbex";"Small molecule";"4";"1243.50";"10";"13";"8.07";"126.44";"12";"0";"3";"24";"N";"0.04";"None";"None";"-0.96";"-0.96";"4";"MOL";"0";"67";"14";"0";"3";"928.5074";"NEUTRAL";"C65H82N2O18S2";"COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1";"XXZSQOVSEBAPGS-DONVQRBFSA-L"
"CHEMBL1616";"APOMORPHINE HYDROCHLORIDE";"APO-GO|APO-GO PEN|APO-GO PFS|APOKINON|APOMINE|APOMORPH HCL|APOMORPHINE HCL|APOMORPHINE HYDROCHLORIDE|APOMORPHINE HYDROCHLORIDE HEMIHYDRATE|APOMORPHINE HYDROCHLORIDE HYDRATE|APOMORPHINUM MURIATICUM|Apokyn|Apomorphine Hydrochloride|BRITAJECT|Bromophin|DACEPTON|DIAGESIL|DIAMORPH HCL|DIAMORPH ROCHE|DIAMORPH,COCAINE,CHLORPROMAZINE|DIAMORPHINE HYDROCHLORIDE |DIAPHINE|Euphorin|IXENSE|KW-6500|KYNMOBI|NSC-11442|NSC-755875|TALUVIAN|UPRIMA";"Small molecule";"4";"303.79";"18";"47";"2.85";"43.70";"3";"2";"0";"0";"Y";"0.72";"9.26";"7.72";"2.88";"2.58";"2";"MOL";"0";"20";"3";"2";"0";"267.1259";"NEUTRAL";"C17H18ClNO2";"CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl";"SKYZYDSNJIOXRL-BTQNPOSSSA-N"
"CHEMBL2146123";"METHACYCLINE HYDROCHLORIDE";"METACYCLINE HYDROCHLORIDE|METHACYCLINE HCL|METHACYCLINE HYDROCHLORIDE|NSC-356465|NSC-757835|Rondomycin";"Small molecule";"4";"478.89";"47";"92";"-0.44";"181.62";"9";"6";"1";"2";"N";"0.33";"2.88";"7.41";"-3.51";"-3.81";"1";"MOL";"0";"32";"10";"7";"1";"442.1376";"ACID";"C22H23ClN2O8";"C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl";"VZQARNDJLLWXGL-CCHMMTNSSA-N"
"CHEMBL1200773";"TOCAINIDE HYDROCHLORIDE";"TOCAINIDE HCL|TOCAINIDE HYDROCHLORIDE|TOCAINIDE MONOHYDROCHLORIDE|Tonocard|XYLOTOCAN";"Small molecule";"4";"228.72";"6";"23";"1.59";"55.12";"2";"2";"0";"2";"Y";"0.75";"13.65";"8.23";"1.88";"1.00";"1";"MOL";"0";"14";"3";"3";"0";"192.1263";"NEUTRAL";"C11H17ClN2O";"Cc1cccc(C)c1NC(=O)C(C)N.Cl";"AMZACPWEJDQXGW-UHFFFAOYSA-N"
"CHEMBL149082";"TRAMIPROSATE";"3-AMINOPROPANE SULFONIC ACID|ACAMPROSATE RELATED COMPOUND A|NC-758|NSC-77071|TRAMIPROSATE";"Small molecule";"3";"139.18";"18";"40";"-0.78";"80.39";"3";"2";"0";"3";"N";"0.50";"-0.99";"10.19";"-2.55";"-2.56";"0";"MOL";"0";"8";"4";"3";"0";"139.0303";"ZWITTERION";"C3H9NO3S";"NCCCS(=O)(=O)O";"SNKZJIOFVMKAOJ-UHFFFAOYSA-N"
"CHEMBL1200961";"BROMPHENIRAMINE MALEATE";"(+)-Brompheniramine Maleate|BROMPHENIRAMINE MALEATE|Brompheniramine fumarate|DIMEGAN|DIMETANE-TEN|DIMOTANE|DIMOTANE L.A.|Dimetane|NSC-758652|PARABROMDYLAMINE MALEATE";"Small molecule";"4";"435.32";"24";"50";"3.93";"16.13";"2";"0";"0";"5";"N";"0.83";"None";"9.48";"3.75";"1.68";"2";"MOL";"0";"19";"2";"0";"0";"318.0732";"BASE";"C20H23BrN2O4";"CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O";"SRGKFVAASLQVBO-BTJKTKAUSA-N"
"CHEMBL1200927";"DEXCHLORPHENIRAMINE MALEATE";"CHLORPHENIRAMINE D-FORM MALEATE|CHLORPHENIRAMINE MALEATE, (S)-|D-CHLORPHENIRAMINE MALEATE|DEXCHLORPHENIRAMINE MALEATE|Mylaramine|NSC-759156|Polaramine";"Small molecule";"4";"390.87";"24";"61";"3.82";"16.13";"2";"0";"0";"5";"N";"0.82";"None";"9.47";"3.58";"1.52";"2";"MOL";"0";"19";"2";"0";"0";"274.1237";"BASE";"C20H23ClN2O4";"CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O";"DBAKFASWICGISY-DASCVMRKSA-N"
"CHEMBL473659";"GINSENOSIDE RD";"CHIKUSETSUSAPONIN FK7|GINSENOSIDE RD|GYPENOSIDE VIII";"Small molecule";"3";"947.17";"18";"33";"-0.03";"298.14";"18";"12";"3";"13";"N";"0.09";"11.85";"None";"0.22";"0.22";"0";"MOL";"0";"66";"18";"12";"3";"946.5501";"NEUTRAL";"C48H82O18";"CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C";"RLDVZILFNVRJTL-IWFVLDDISA-N"
"CHEMBL1201002";"CARTEOLOL HYDROCHLORIDE";"ABBOTT-43326|CARTEOLOL HCL|CARTEOLOL HYDROCHLORIDE|Cartrol|NSC-300906|OPC-1085|Ocupress|TEOPTIC";"Small molecule";"4";"328.84";"5";"13";"1.70";"70.59";"4";"3";"0";"5";"N";"0.77";"13.41";"9.76";"1.42";"-0.89";"1";"MOL";"0";"21";"5";"3";"0";"292.1787";"BASE";"C16H25ClN2O3";"CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl";"FYBXRCFPOTXTJF-UHFFFAOYSA-N"
"CHEMBL1086440";"TRICLABENDAZOLE";"EGA230B|EGATEN|EGATEN TM|FASINEX|NSC-759250|NVP-EGA230|TRICLABENDAZOLE";"Small molecule";"4";"359.67";"48";"121";"6.04";"37.91";"3";"1";"1";"3";"N";"0.58";"10.31";"4.39";"5.88";"5.88";"3";"MOL";"0";"21";"3";"1";"1";"357.9501";"NEUTRAL";"C14H9Cl3N2OS";"CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1";"NQPDXQQQCQDHHW-UHFFFAOYSA-N"
"CHEMBL190333";"RWJ-67657";"RWJ-67657";"Small molecule";"1";"425.51";"22";"63";"5.12";"50.94";"4";"1";"1";"7";"N";"0.42";"None";"4.89";"5.43";"5.43";"4";"MOL";"0";"32";"4";"1";"1";"425.1903";"NEUTRAL";"C27H24FN3O";"OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1";"QSUSKMBNZQHHPA-UHFFFAOYSA-N"
"CHEMBL515564";"TENOFOVIR EXALIDEX";"CMX-157|CMX157|HDP-TENOFOVIR|Hexadecyloxypropyl Tenofovir|TENOFOVIR EXALIDEX";"Small molecule";"2";"569.73";"13";"212";"6.86";"134.61";"9";"2";"2";"25";"N";"0.10";"1.40";"3.75";"3.40";"3.38";"2";"MOL";"0";"39";"10";"3";"2";"569.3706";"ACID";"C28H52N5O5P";"CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21";"SCTJKHUUZLXJIP-RUZDIDTESA-N"
"CHEMBL1201023";"ORPHENADRINE HYDROCHLORIDE";"BIORPHEN|DISIPAL|MEPHENAMIN|NSC-82357|ORPHENADRINE (CHLORIDE)|ORPHENADRINE HCL|ORPHENADRINE HYDROCHLORIDE|Orphenadrine (Chloride)";"Small molecule";"4";"305.85";"22";"40";"3.66";"12.47";"2";"0";"0";"6";"N";"0.79";"None";"8.87";"4.17";"2.69";"2";"MOL";"0";"20";"2";"0";"0";"269.1780";"BASE";"C18H24ClNO";"Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl";"UQZKYYIKWZOKKD-UHFFFAOYSA-N"
"CHEMBL16476";"PRONETALOL";"AY 6204 [AS HYDROCHLORIDE]|AY-6204 HCL|DL-PRONETHALOL|GNF-PF-2670|ICI 38174 [AS HYDROCHLORIDE]|INETOL|NAPHTHYLISOPROTERENOL|NETHALIDE|PRONETALOL|PRONETHALOL|Pronetalol";"Small molecule";"4";"229.32";"10";"29";"2.87";"32.26";"2";"2";"0";"4";"N";"0.84";"None";"9.57";"2.66";"0.53";"2";"MOL";"0";"17";"2";"2";"0";"229.1467";"BASE";"C15H19NO";"CC(C)NCC(O)c1ccc2ccccc2c1";"HRSANNODOVBCST-UHFFFAOYSA-N"
"CHEMBL1354";"SODIUM ACETATE";"ACETIC ACID, SODIUM SALT (1:1)|E-262(I)|E262|FEMA NO. 3024|INS NO.262(I)|INS-262(I)|NSC-77459|SODIUM ACETATE|SODIUM ACETATE (3H2O)|SODIUM ACETATE ANHYDROUS|SODIUM ACETATE HYDRATE|SODIUM ACETATE TRIHYDRATE|SODIUM ACETATE, ANHYDROUS|SODIUM ACETATE,ANHYDROUS|Sodium Acetate|Sodium acetate, anhydrous";"Small molecule";"4";"82.03";"10";"34";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"82.0031";"None";"C2H3NaO2";"CC(=O)[O-].[Na+]";"VMHLLURERBWHNL-UHFFFAOYSA-M"
"CHEMBL1672627";"LAS101057";"LAS101057";"Small molecule";"1";"335.34";"22";"74";"3.09";"80.66";"5";"1";"0";"4";"N";"0.79";"11.28";"4.14";"1.92";"1.92";"3";"MOL";"0";"25";"6";"1";"0";"335.1182";"NEUTRAL";"C18H14FN5O";"O=C(Nc1cnc(-c2ccncc2F)c(-c2cccnc2)n1)C1CC1";"XUYURJQIMYCWBB-UHFFFAOYSA-N"
"CHEMBL1162496";"3-HYDROXYBUTYRIC ACID, (+/-)-";"3-HYDROXYBUTYRIC ACID, (+/-)-|3-Hydroxybutanoate|BETA-HYDROXY-BUTYRATE|BETA-HYDROXYBUTYRATE|D,L-3 HYDROXYBUTYRATE|HYDROXYBUTYRIC ACID, DL-|NSC-3806";"Small molecule";"1";"104.10";"12";"22";"-0.16";"57.53";"2";"2";"0";"2";"Y";"0.51";"4.41";"None";"-0.39";"-3.27";"0";"MOL";"0";"7";"3";"2";"0";"104.0473";"ACID";"C4H8O3";"CC(O)CC(=O)O";"WHBMMWSBFZVSSR-UHFFFAOYSA-N"
"CHEMBL4080228";"PF-06821497";"PF-06821497";"Small molecule";"1";"467.35";"16";"33";"3.53";"80.86";"5";"1";"0";"6";"N";"0.70";"11.14";"None";"1.86";"1.86";"2";"MOL";"0";"31";"7";"1";"0";"466.1062";"NEUTRAL";"C22H24Cl2N2O5";"COc1cc(C)[nH]c(=O)c1CN1CCc2c(Cl)cc([C@H](OC)C3COC3)c(Cl)c2C1=O";"RXCVUHMIWHRLDF-HXUWFJFHSA-N"
"CHEMBL318191";"TONABERSAT";"SB-220453|TONABERSAT";"Small molecule";"2";"391.83";"4";"13";"3.68";"75.63";"4";"2";"0";"3";"N";"0.78";"12.39";"None";"2.87";"2.87";"2";"MOL";"0";"27";"5";"2";"0";"391.0987";"NEUTRAL";"C20H19ClFNO4";"CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)c(Cl)c1)[C@H](O)C(C)(C)O2";"XLIIRNOPGJTBJD-ROUUACIJSA-N"
"CHEMBL1909289";"XENAZOIC ACID";"CV 58903|CV-58903|NSC-43842|NSC-58991|NSC-59182|SKF-8318|XANALAMINE|XENALAMINE|XENAZOIC ACID|XENOVIS";"Small molecule";"4";"375.42";"4";"23";"4.71";"75.63";"4";"2";"0";"8";"N";"0.44";"4.68";"None";"4.69";"2.04";"3";"MOL";"0";"28";"5";"2";"0";"375.1471";"ACID";"C23H21NO4";"CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1";"BPOMPTVRBWXZBY-UHFFFAOYSA-N"
"CHEMBL2359966";"QUININE SULFATE";"ANHYDROUS QUININE SULFATE|CHININUM SULPHURICUM|FEMA NO. 2977|NSC-5362|NSC-757298|QUALAQUIN|QUINAMM|QUINATE|QUININE HEMISULFATE ANHYDROUS|QUININE SULFATE|QUININE SULFATE (2:1)|QUININE SULFATE ANHYDROUS|QUININE SULFATE DIHYDRATE|QUININE SULFATE HYDRATE|QUININE SULPHATE|QUININE, SULFATE (2:1) (SALT)|Quinine sulfate";"Small molecule";"4";"782.96";"13";"38";"3.17";"45.59";"4";"1";"0";"4";"N";"0.88";"13.89";"9.05";"2.51";"0.86";"2";"MOL";"0";"24";"4";"1";"0";"324.1838";"BASE";"C40H54N4O10S";"C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O";"ZHNFLHYOFXQIOW-LPYZJUEESA-N"
"CHEMBL168640";"PPL-100";"MK-8122|MX-100|PL 100 (PHARMACEUTICAL)|PL-100|PPL 100|PPL-100|TMB-607";"Small molecule";"1";"624.80";"6";"67";"4.12";"151.06";"7";"4";"1";"16";"N";"0.14";"13.30";"2.43";"4.09";"4.09";"3";"MOL";"0";"44";"10";"5";"1";"624.2982";"NEUTRAL";"C33H44N4O6S";"COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1";"QAHLFXYLXBBCPS-IZEXYCQBSA-N"
"CHEMBL1170";"TESTOSTERONE PROPIONATE";"NRB-03689|NSC-9166|ORCHISTERONE|TESTOSTERON 17-PROPIONATE|TESTOSTERONE 17.BETA.-PROPIONATE|TESTOSTERONE PROPIONATE|TESTOSTERONE PROPIONATE CIII|TESTOSTERONI PROPIONAS|Testosterone Propionate|VIRORMONE";"Small molecule";"4";"344.50";"36";"152";"4.84";"43.37";"3";"0";"0";"2";"N";"0.67";"None";"None";"4.51";"4.51";"0";"MOL";"0";"25";"3";"0";"0";"344.2351";"NEUTRAL";"C22H32O3";"CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C";"PDMMFKSKQVNJMI-BLQWBTBKSA-N"
"CHEMBL487";"DROLOXIFENE";"3-HYDROXYTAMOXIFEN|DROLOXIFENE|Droloxifene|E-Droloxifene|FK-435|K-060|K-21060E|K060|K060E";"Small molecule";"3";"387.52";"10";"37";"5.70";"32.70";"3";"1";"1";"8";"N";"0.50";"9.43";"8.66";"5.69";"4.67";"3";"MOL";"0";"29";"3";"1";"1";"387.2198";"BASE";"C26H29NO2";"CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1";"ZQZFYGIXNQKOAV-OCEACIFDSA-N"
"CHEMBL2178578";"VERCIRNON";"CCX-282-B|CCX282|GSK-1605786|GSK1605786|VERCIRNON|Vercirnon|Verecimon|vercirnon";"Small molecule";"3";"444.94";"11";"44";"4.30";"90.18";"4";"1";"0";"5";"N";"0.36";"7.30";"0.50";"3.59";"3.30";"3";"MOL";"0";"30";"6";"1";"0";"444.0911";"NEUTRAL";"C22H21ClN2O4S";"CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1";"JRWROCIMSDXGOZ-UHFFFAOYSA-N"
"CHEMBL22055";"SUFUGOLIX";"SUFUGOLIX|Sufugolix|TAK-013";"Small molecule";"2";"667.74";"9";"153";"6.52";"97.60";"8";"2";"2";"10";"N";"0.16";"9.07";"7.57";"6.87";"6.63";"6";"MOL";"0";"48";"9";"2";"2";"667.2065";"NEUTRAL";"C36H31F2N5O4S";"CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1";"UCQSBGOFELXYIN-UHFFFAOYSA-N"
"CHEMBL1800807";"ANACETRAPIB";"ANACETRAPIB|MK-0859|MK0859";"Small molecule";"3";"637.51";"21";"108";"9.76";"38.77";"3";"0";"2";"6";"N";"0.25";"None";"None";"9.30";"9.30";"3";"MOL";"0";"44";"4";"0";"2";"637.1675";"NEUTRAL";"C30H25F10NO3";"COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C";"MZZLGJHLQGUVPN-HAWMADMCSA-N"
"CHEMBL1200622";"PARICALCITOL";"COMPOUND 49510|COMPOUND-49510|PARICALCITOL|Zemplar";"Small molecule";"4";"416.65";"10";"42";"5.56";"60.69";"3";"3";"1";"5";"N";"0.51";"None";"None";"4.26";"4.26";"0";"MOL";"0";"30";"3";"3";"1";"416.3290";"NEUTRAL";"C27H44O3";"C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O";"BPKAHTKRCLCHEA-UBFJEZKGSA-N"
"CHEMBL1637";"GEMCITABINE HYDROCHLORIDE";"GEMCITABINE (AS HYDROCHLORIDE)|GEMCITABINE HCL|GEMCITABINE HYDROCHLORIDE|Gemzar|INFUGEM|LY-188011|LY-188011 HYDROCHLORIDE|LY188011 HYDROCHLORIDE";"Small molecule";"4";"299.66";"20";"57";"-1.29";"110.60";"7";"3";"0";"2";"N";"0.61";"11.52";"None";"-1.47";"-1.47";"1";"MOL";"0";"18";"7";"4";"0";"263.0718";"NEUTRAL";"C9H12ClF2N3O4";"Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1";"OKKDEIYWILRZIA-OSZBKLCCSA-N"
